#node	identifier	category	term ID	term description
ATM	9606.ENSP00000278616	GO Process	GO:0000003	Reproduction
ATM	9606.ENSP00000278616	GO Process	GO:0000075	Cell cycle checkpoint signaling
ATM	9606.ENSP00000278616	GO Process	GO:0000077	DNA damage checkpoint signaling
ATM	9606.ENSP00000278616	GO Process	GO:0000278	Mitotic cell cycle
ATM	9606.ENSP00000278616	GO Process	GO:0000280	Nuclear division
ATM	9606.ENSP00000278616	GO Process	GO:0000723	Telomere maintenance
ATM	9606.ENSP00000278616	GO Process	GO:0000724	Double-strand break repair via homologous recombination
ATM	9606.ENSP00000278616	GO Process	GO:0000725	Recombinational repair
ATM	9606.ENSP00000278616	GO Process	GO:0000956	Nuclear-transcribed mRNA catabolic process
ATM	9606.ENSP00000278616	GO Process	GO:0001541	Ovarian follicle development
ATM	9606.ENSP00000278616	GO Process	GO:0001666	Response to hypoxia
ATM	9606.ENSP00000278616	GO Process	GO:0001756	Somitogenesis
ATM	9606.ENSP00000278616	GO Process	GO:0001775	Cell activation
ATM	9606.ENSP00000278616	GO Process	GO:0001932	Regulation of protein phosphorylation
ATM	9606.ENSP00000278616	GO Process	GO:0001934	Positive regulation of protein phosphorylation
ATM	9606.ENSP00000278616	GO Process	GO:0002200	Somatic diversification of immune receptors
ATM	9606.ENSP00000278616	GO Process	GO:0002327	Immature B cell differentiation
ATM	9606.ENSP00000278616	GO Process	GO:0002329	pre-B cell differentiation
ATM	9606.ENSP00000278616	GO Process	GO:0002331	pre-B cell allelic exclusion
ATM	9606.ENSP00000278616	GO Process	GO:0002376	Immune system process
ATM	9606.ENSP00000278616	GO Process	GO:0002520	Immune system development
ATM	9606.ENSP00000278616	GO Process	GO:0002521	Leukocyte differentiation
ATM	9606.ENSP00000278616	GO Process	GO:0002562	Somatic diversification of immune receptors via germline recombination within a single locus
ATM	9606.ENSP00000278616	GO Process	GO:0002682	Regulation of immune system process
ATM	9606.ENSP00000278616	GO Process	GO:0002683	Negative regulation of immune system process
ATM	9606.ENSP00000278616	GO Process	GO:0002694	Regulation of leukocyte activation
ATM	9606.ENSP00000278616	GO Process	GO:0002695	Negative regulation of leukocyte activation
ATM	9606.ENSP00000278616	GO Process	GO:0003002	Regionalization
ATM	9606.ENSP00000278616	GO Process	GO:0003006	Developmental process involved in reproduction
ATM	9606.ENSP00000278616	GO Process	GO:0006139	Nucleobase-containing compound metabolic process
ATM	9606.ENSP00000278616	GO Process	GO:0006259	DNA metabolic process
ATM	9606.ENSP00000278616	GO Process	GO:0006281	DNA repair
ATM	9606.ENSP00000278616	GO Process	GO:0006302	Double-strand break repair
ATM	9606.ENSP00000278616	GO Process	GO:0006303	Double-strand break repair via nonhomologous end joining
ATM	9606.ENSP00000278616	GO Process	GO:0006310	DNA recombination
ATM	9606.ENSP00000278616	GO Process	GO:0006355	Regulation of transcription, DNA-templated
ATM	9606.ENSP00000278616	GO Process	GO:0006357	Regulation of transcription by RNA polymerase II
ATM	9606.ENSP00000278616	GO Process	GO:0006401	RNA catabolic process
ATM	9606.ENSP00000278616	GO Process	GO:0006402	mRNA catabolic process
ATM	9606.ENSP00000278616	GO Process	GO:0006403	RNA localization
ATM	9606.ENSP00000278616	GO Process	GO:0006468	Protein phosphorylation
ATM	9606.ENSP00000278616	GO Process	GO:0006629	Lipid metabolic process
ATM	9606.ENSP00000278616	GO Process	GO:0006644	Phospholipid metabolic process
ATM	9606.ENSP00000278616	GO Process	GO:0006650	Glycerophospholipid metabolic process
ATM	9606.ENSP00000278616	GO Process	GO:0006661	Phosphatidylinositol biosynthetic process
ATM	9606.ENSP00000278616	GO Process	GO:0006725	Cellular aromatic compound metabolic process
ATM	9606.ENSP00000278616	GO Process	GO:0006793	Phosphorus metabolic process
ATM	9606.ENSP00000278616	GO Process	GO:0006796	Phosphate-containing compound metabolic process
ATM	9606.ENSP00000278616	GO Process	GO:0006807	Nitrogen compound metabolic process
ATM	9606.ENSP00000278616	GO Process	GO:0006915	Apoptotic process
ATM	9606.ENSP00000278616	GO Process	GO:0006950	Response to stress
ATM	9606.ENSP00000278616	GO Process	GO:0006974	Cellular response to DNA damage stimulus
ATM	9606.ENSP00000278616	GO Process	GO:0006975	DNA damage induced protein phosphorylation
ATM	9606.ENSP00000278616	GO Process	GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest
ATM	9606.ENSP00000278616	GO Process	GO:0006996	Organelle organization
ATM	9606.ENSP00000278616	GO Process	GO:0007049	Cell cycle
ATM	9606.ENSP00000278616	GO Process	GO:0007059	Chromosome segregation
ATM	9606.ENSP00000278616	GO Process	GO:0007088	Regulation of mitotic nuclear division
ATM	9606.ENSP00000278616	GO Process	GO:0007093	Mitotic cell cycle checkpoint signaling
ATM	9606.ENSP00000278616	GO Process	GO:0007094	Mitotic spindle assembly checkpoint signaling
ATM	9606.ENSP00000278616	GO Process	GO:0007095	Mitotic G2 DNA damage checkpoint signaling
ATM	9606.ENSP00000278616	GO Process	GO:0007127	Meiosis I
