#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATM	USP28	9606.ENSP00000278616	9606.ENSP00000003302	0	0	0	0	0.135	0.292	0	0.388	0.593
ATM	H4C6	9606.ENSP00000278616	9606.ENSP00000244537	0	0	0	0	0.042	0.129	0.500	0.518	0.772
ATM	TOPBP1	9606.ENSP00000278616	9606.ENSP00000260810	0	0	0	0	0.096	0.534	0.500	0.810	0.954
ATM	TP53	9606.ENSP00000278616	9606.ENSP00000269305	0	0	0	0	0.103	0.928	0.900	0.975	0.999
ATM	H2AC18	9606.ENSP00000278616	9606.ENSP00000358155	0	0	0	0	0	0.066	0	0.795	0.801
ATM	PAXIP1	9606.ENSP00000278616	9606.ENSP00000384048	0	0	0	0	0.067	0.309	0.500	0.899	0.963
ATM	H2AX	9606.ENSP00000278616	9606.ENSP00000434024	0	0	0	0	0	0.876	0.500	0.984	0.998
ATM	BRCA1	9606.ENSP00000278616	9606.ENSP00000418960	0	0	0	0	0.042	0.847	0.900	0.999	0.999
ATM	MDC1	9606.ENSP00000278616	9606.ENSP00000365588	0	0	0	0	0.073	0.876	0.500	0.996	0.999
ATM	TP53BP1	9606.ENSP00000278616	9606.ENSP00000371475	0	0	0	0	0.042	0.874	0.500	0.995	0.999
BRCA1	USP28	9606.ENSP00000418960	9606.ENSP00000003302	0	0	0	0	0.049	0.188	0	0.310	0.420
BRCA1	H4C6	9606.ENSP00000418960	9606.ENSP00000244537	0	0	0	0	0.050	0.547	0.500	0.457	0.867
BRCA1	TOPBP1	9606.ENSP00000418960	9606.ENSP00000260810	0	0	0	0	0.280	0.994	0.540	0.900	0.999
BRCA1	TP53	9606.ENSP00000418960	9606.ENSP00000269305	0	0	0	0	0.067	0.895	0.500	0.999	0.999
BRCA1	H2AC18	9606.ENSP00000418960	9606.ENSP00000358155	0	0	0	0	0	0.086	0.500	0.769	0.885
BRCA1	MDC1	9606.ENSP00000418960	9606.ENSP00000365588	0	0	0	0	0.104	0.833	0.500	0.996	0.999
BRCA1	TP53BP1	9606.ENSP00000418960	9606.ENSP00000371475	0	0	0	0	0.050	0.826	0.500	0.999	0.999
BRCA1	PAXIP1	9606.ENSP00000418960	9606.ENSP00000384048	0	0	0	0	0.149	0.045	0.500	0.644	0.836
BRCA1	H2AX	9606.ENSP00000418960	9606.ENSP00000434024	0	0	0	0	0.084	0.900	0.500	0.983	0.999
H2AC18	H4C6	9606.ENSP00000358155	9606.ENSP00000244537	0	0.019	0	0	0.729	0.937	0.400	0.999	0.999
H2AC18	TOPBP1	9606.ENSP00000358155	9606.ENSP00000260810	0	0	0	0	0.042	0.053	0	0.448	0.456
